Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,89,0,5200.0,16072.263461788802,965.9334999741986,213279.79379997123,622.0,0.021204817815570185,0.0,5200,7000,9300,12000,49000,56000,104000,213000,213000,213000,213000
POST,/retrain,83,5,246000.0,280305.8014819258,80942.11019994691,735306.6194999265,409.1807228915663,0.019775279535868825,0.001191281899751134,246000,279000,345000,400000,503000,509000,614000,735000,735000,735000,735000
,Aggregated,172,5,81000.0,143580.30797150618,965.9334999741986,735306.6194999265,519.3023255813954,0.04098009735143901,0.001191281899751134,85000,201000,245000,265000,388000,503000,515000,614000,735000,735000,735000
